"customer_id","first_name","last_name","average_payment"
477,"Dan","Paine","5.0852380952380952"
272,"Kay","Caldwell","5.0669230769230769"
187,"Brittany","Riley","5.6196296296296296"
19,"Ruth","Martinez","5.4900000000000000"
508,"Milton","Howland","5.2943478260869565"
181,"Ana","Bradley","5.0809090909090909"
285,"Miriam","Mckinney","5.1204347826086957"
522,"Arnold","Havens","5.0525000000000000"
259,"Lena","Jensen","5.1566666666666667"
3,"Linda","Williams","5.4483333333333333"
209,"Tonya","Chapman","5.0934482758620690"
293,"Mae","Fletcher","5.1328571428571429"
470,"Gordon","Allard","5.0867741935483871"
311,"Paul","Trout","5.3900000000000000"
321,"Kevin","Schuler","5.5194117647058824"
472,"Greg","Robins","5.0669230769230769"
583,"Marshall","Thorn","5.1204347826086957"
310,"Daniel","Cabral","5.2976923076923077"
542,"Lonnie","Tirado","5.3025000000000000"
137,"Rhonda","Kennedy","5.0426315789473684"
